probeid,day,asn_v4,address_v4,address_v6,tagged_version,connectivity
607,20160518,56791,176.32.128.19,2a00:9e80:0:c010:220:4aff:febf:ff6f,system-v1,v4-v6-works
610,20160518,34688,194.116.252.246,2a01:5e00:0:11:220:4aff:febf:ff89,system-v1,v4-v6-works
616,20160518,51290,91.216.191.246,2001:67c:2044:f597::2,system-v1,v4-v6-works
627,20160518,3292,131.164.255.98,2001:6c8:130:200:220:4aff:febf:ff87,system-v1,v4-v6-works
628,20160518,43782,79.132.99.22,2a00:1138:0:2:220:4aff:febf:ffa1,system-v1,v4-v6-works
629,20160518,50620,,,system-v1,v4-v6-works
633,20160518,2847,193.219.61.65,2001:778::65,system-v1,v4-v6-works
637,20160518,39904,195.189.0.242,2a02:7a00:0:5:220:4aff:febf:ff8e,system-v1,v4-v6-works
644,20160518,16347,,,system-v1,v4-v6-works
665,20160518,1653,,,system-v1,v4-v6-works
668,20160518,42514,,,system-v1,v4-v6-works
669,20160518,33924,84.20.64.71,2a00:6b80:1:0:220:4aff:fec5:5443,system-v1,v4-v6-works
672,20160518,31543,,,system-v1,v4-v6-works
688,20160518,34279,81.89.18.82,2a00:13b8::12:52,system-v1,v4-v6-works
698,20160518,34279,81.89.29.230,2a00:13b8::1d:e6,system-v1,v4-v6-works
699,20160518,29632,62.205.157.197,2a01:d0:0:23::2,system-v1,v4-v6-works
702,20160518,44869,80.71.82.54,2a02:17c0:11:2:220:4aff:fec5:5b1a,system-v1,v4-v6-works
713,20160518,20912,212.66.97.165,2001:40d0:ff:ffff::2,system-v1,v4-v6-works
731,20160518,42760,77.74.1.62,2a02:cd8:abac:3:220:4aff:fec5:5b12,system-v1,v4-v6-works
732,20160518,41073,89.207.59.36,2a00:1ed8:0:59::36,system-v1,v4-v6-works
739,20160518,20900,,,system-v1,v4-v6-works
748,20160518,43751,,,system-v1,v4-v6-works
750,20160518,13101,213.178.88.172,2a00:12d0:0:12d:220:4aff:fec6:ca68,system-v1,v4-v6-works
753,20160518,43950,79.98.33.222,2a01:568:5000:138:220:4aff:fec5:5b29,system-v1,v4-v6-works
764,20160518,1955,193.6.223.20,2001:738:0:410:220:4aff:fec6:cb2e,system-v1,v4-v6-works
784,20160518,12816,129.187.163.18,2001:4ca0:0:f014:220:4aff:fec7:ac17,system-v1,v4-v6-works
786,20160518,44869,80.71.82.50,2a02:17c0:11:1:220:4aff:fec7:ac1c,system-v1,v4-v6-works
789,20160518,13101,82.97.161.91,2a00:12d0:0:12e:220:4aff:fec6:ca3e,system-v1,v4-v6-works
812,20160518,12502,212.71.205.23,2001:14f8:1:1::17,system-v1,v4-v6-works
